SMILES,density,melting,oxygen
*CC(*)c1cc(C(C)(C)C)ccc1C,,,
*CC(*)c1cc(C(C)C)ccc1C(C)C,,,
*CC(*)c1cc(Cl)ccc1Cl,,,
*CC(*)c1cc(F)ccc1F,,,
*CC(*)c1cc(C)ccc1F,,,
*CC(*)c1cc(Br)ccc1OCCCC,,,
*CC(*)c1cc(Br)ccc1OCC,,,
*CC(*)c1cc(Br)ccc1OC,,,
*CC(*)c1cc(Br)ccc1OCCC,,,
*CC(*)c1cc(Br)ccc1OC(C)C,,,
*CC(*)c1cc(Br)ccc1OCCCCC,,,
*CC(*)c1cc(Br)ccc1OCCC(C)C,,,
*CC(*)c1cc(C)cc(C)c1,,290.0,
*CC(*)c1ccc(C)c(C)c1,,240.0,
*CC(*)c1ccc(Cl)c(C)c1,,,
*CC(*)c1ccc(Cl)c(Cl)c1,,,
*CC(*)c1ccc(Cl)c(F)c1,,,
*CC(*)c1c(C)cc(C)cc1C,1.168,,
*CC(*)c1cc(C)c(C)cc1C,0.996,,
*CC(*)c1c(F)c(F)c(F)c(F)c1F,,,
*CC(*)(C)c1ccccc1,1.065,,
*CC(*)(C)c1ccc(C(C)C)cc1,,203.0,
*C(F)(F)C(*)(F)c1ccccc1,,,
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,,,
*CC(*)c1cccc2ccccc12,1.12,360.0,
*CC(*)c1ccc(C(C)=O)cc1,,,
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,,,
*CC(*)(C(=O)OC)c1ccccc1,,,
*CC(*)(C)c1ccc(C)cc1,,227.0,
*C(c1ccccc1)C(*)[N+](=O)[O-],,285.0,
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,,178.0,
*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,,,
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,0.9748,,
*CC(*)c1cccc(B(O[Si](C)(C)C)O[Si](C)(C)C)c1,,,
*CC(*)c1ccc2ccccc2c1,1.108,360.0,
*CC(*)c1ccncc1,1.1884,,
*CC(*)c1cccc(C)n1,,,
*CC(*)c1ccc(C)nc1,1.103,,
*CC(*)n1cc2ccccc2n1,1.23,,
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,,350.0,
*CC(*)c1ccc(O)cc1,1.18,,
*CC(*)c1ccc(OC(C)=O)cc1,,,
*CC(*)c1ccc(CCC)cc1,,,
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,,,
*CC(*)c1ccc(COCC(CC)CCCC)cc1,,,
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,,,
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,,,
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,,,
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,,192.0,
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],1.116,,
*CC(*)O,1.3,226.3,
*CC(*)C=O,,,
*CC(*)OC(=O)CCCCCCCCCCC,0.897,22.15,
*CC(*)OC(=O)CCCCCCCCCCCCCCC,0.891,43.0,
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,,52.85,
*CC(*)C(C)=O,1.195,170.0,
*CC(*)C(=O)C(C)C,,220.0,
*CC(*)(C)C(C)=O,1.15,240.0,
*CC(*)C#N,1.18,311.0,
*CC(*)(C)C#N,1.13895,,
*CC(*)c1ccccn1,1.151,202.0,
*CC(*)n1c2ccccc2c2ccccc21,1.18915,335.5,
*CC(*)C[SiH3],,128.0,
*CC(*)C[Si](C)(C)C,0.876,309.0,
*CC(*)OC,1.05,144.0,
*CC(*)OCC,0.968,86.0,
*CC(*)OCCCC,0.9285,64.0,
*CC(*)OCCCCC,0.918,,
*CC(*)OCCCCCC,0.9135,,
*CC(*)OCCCCCCCCCC,0.8815,7.0,
*CC(*)OC(C)=O,1.185,41.25,
*CC(*)OC(=O)CC,1.048,,
*CC(*)OC(=O)c1ccccc1,1.214,,
*CC(*)OCC(C)C,0.93,167.5,
*CC(*)CCCCCCCCCO,,134.0,
*CC(*)CCN(C(C)C)C(C)C,,315.0,
*CC(*)CCCN(C(C)C)C(C)C,0.889,130.0,
*CC(*)CCCN(CC(C)C)CC(C)C,0.867,112.0,
*CC(*)O[N+](=O)[O-],1.586,,
*/C=C/C(C)C(*)C(=O)OC,,200.0,
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,1.4965,,
*CC(*)CC[Si](C)(C)C,0.898,206.0,
*CC(*)CCC[Si](C)(C)C,,,
*CC(*)OC=O,1.42,,
*CC(*)OCc1ccccc1,,151.0,
*CC(*)OC(C)(C)C,0.971,260.0,
*C(C)C(*)OCC(C)C,,,
*CC(*)OC(C)C,0.93,191.0,
*CC(*)(C)OC,1.0355,100.0,
*CC(*)OCC(C)(C)C,0.91,216.0,
*CC(*)OC(C)CC,0.9395,,
*CC(*)OC(=O)C(F)(F)F,1.55,148.0,
*/C=C/C(C*)OC,,118.0,
*/C=C/CC(C)(CC*)C(=O)OC,,56.0,
*CC(*)CCc1ccccc1C,,239.0,
*CC(*)CCc1ccc(C)cc1,,196.0,
*CC(*)OCCCCCCCCCCCC,0.892,30.0,
*C(C)C(*)OCCCC,,100.0,
*C(C)C(*)OC(C)(C)C,,250.0,
*C(C)C(*)OCC,,230.0,
*C(C)C(*)OC(C)C,,207.5,
*C(C)C(*)OC,,287.0,
*C(C)C(*)OCCC,,168.0,
*C1CC(*)(C#N)C1,1.1,370.0,
*CC(*)Cc1cc(C)ccc1C,,338.0,
*CC(*)Cc1ccc(C)c(C)c1,,275.0,
*CC(*)Cc1cc(C)cc(C)c1,,252.0,
*CC(*)Cc1cccc(C)c1,1.039,180.0,
*CC(*)Cc1ccccc1C,1.031,290.0,
*CC(*)Cc1ccc(C)cc1,1.035,240.0,
*C(C)C(*)O,,140.0,
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,1.112,327.0,
*CC(*)C(=O)C(C)(C)C,,150.0,
*CC(*)C(=O)C1CCCCC1,,,
*CC(*)OC(=O)CCCCCCCCCCCCC,,28.5,
*CC(*)C(=O)c1ccccc1O,,195.0,
*/C=C/C(C*)OC,,,
*CC/C=C(/*)c1ccccc1,1.063,,
*C(*)O,,,
*CC(*)OCC(CC)CCCC,0.9005,,
*CC(*)SCCCC,0.984,,
*CC(*)OC1CCCCC1,,,
*CC(*)SCC,,,
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,,,
*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F,,,
*C(OC(F)(F)F)C(*)(F)F,,,
*C(F)C(*)(F)OC(F)(F)F,,,
*C(F)(F)C(*)(F)OC(F)(F)F,,,
*CC(*)OCC(C)(C)CC,,,
*CC(*)SC,1.184,,
*CC(*)OCCCCCCCC,0.9035,,
*CC(*)OCCC,0.94,76.0,
*CC(*)(F)C(C)=O,,,
*CC(*)C(=O)c1ccccc1,,99.0,
*CC(*)C(=O)c1ccc(Br)c(OC)c1,,,
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,,,
*CC(*)C(=O)c1ccc(Cl)cc1,,,
*CC(*)C(=O)c1ccc(CC)cc1,,,
*CC(*)C(=O)c1ccc(C(C)C)cc1,,,
*CC(*)C(=O)c1ccc(OC)cc1,,,
*CC(*)C(=O)c1ccc(C)c(C)c1,,,
*CC(*)C(=O)c1ccc(CCC)cc1,,,
*CC(*)C(=O)c1ccc(C)cc1,,,
*CC(*)OC(=O)c1ccccc1OC(C)=O,,,
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,,,
*CC(*)OC(=O)CCCC(=O)c1ccccc1,0.851,,
*CC(*)OC(=O)c1cccc(Br)c1,,,
*CC(*)OC(=O)c1ccc(Br)cc1,,,
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,,,
*CC(*)OC(=O)c1ccccc1Cl,,,
*CC(*)OC(=O)c1cccc(Cl)c1,,,
*CC(*)OC(=O)c1ccc(Cl)cc1,,,
*CC(*)OC(=O)C1CCCCC1,1.119,,
*CC(*)OC(=O)CC1CCCCC1,,,
*CC(*)OC(=O)CCCC1CCCCC1,,,
*CC(*)OC(=O)c1ccc(OCC)cc1,,,
*CC(*)OC(=O)c1ccc(CC)cc1,1.145,,
*CC(*)OC(=O)C(C)(CC)C(C)(C)C,,,
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,,,
*CC(*)NC(=O)OC(C)(C)C,,263.0,
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)OC(=O)C(F)(F)C(F)(F)F,,,
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)OC(=O)c1ccncc1,1.288,,
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1.198,,
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,,,
*CC(*)OC(=O)c1ccccc1OC,,,
*CC(*)OC(=O)c1cccc(OC)c1,,,
*CC(*)OC(=O)c1ccc(OC)cc1,,,
*CC(*)OC(=O)c1ccccc1C,,,
*CC(*)OC(=O)c1cccc(C)c1,,,
*CC(*)OC(=O)c1ccc(C)cc1,1.163,,
*CC(*)OC(=O)CC(C)(C)c1ccccc1,,,
*CC(*)OC(=O)c1cccc([Si](C)(C)C)c1,,,
*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1,,340.0,
*CC(*)OC(=O)C(C)(C)CCC,,,
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,,,
*CC(*)OC(=O)C(C)(C)C(C)C(C)C,,,
*CC(*)OC(=O)C(C)(C)CC(C)(C)C,,,
*CC(*)OC(=O)c1cccnc1,1.296,,
*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1,,,
*CC(*)OC(=O)CCCCCCC,0.939,,
*CC(*)OC(F)(C(F)(F)F)C(F)(F)F,,,
*CC(*)OC(=O)CCl,1.46,,
*CC(*)c1cccs1,,,
*CC(*)[SiH2]CC,0.98,,
*CC(*)OCCCl,,150.0,
*CC(*)OCCOC,,73.0,
*CC(*)OCC(F)(F)F,,128.0,
*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,,,
*CC(*)OC(=O)C1CCCC1,,,
*CC(*)OC(=O)C1(C)CCCCC1,,,
*CC(*)P(=O)(c1ccccc1)c1ccccc1,,155.0,
*CC(*)P(=O)(OCC)N(C)C,,,
*CC(*)P(=O)(Oc1ccccc1)N(C)C,,,
*CC(*)c1nc(C)nc(C)n1,,,
*CC(*)OC(=O)CCCCCCCCC,0.916,,
*CC(*)OC(=O)CCCCC,0.975,,
*C1Cc2ccccc2C1*,0.63,,
*CC(OC)C1C(=O)OC(=O)C1*,,,
*CC(OC)C(C(=O)O)C(*)C(=O)O,,,
*C#C/C(OS(=O)(=O)c1ccc(C)cc1)=C(/*)OS(=O)(=O)c1ccc(C)cc1,,,
*CCC/C=C(/*)c1ccc(OC)cc1,1.083,,
*CCC/C=C(/*)c1ccccc1,1.04,,
*CCC/C=C(/*)c1ccc(Cl)cc1,1.173,,
*/C(C)=C(/*)[Si](C)(C)C,0.77,,
*/C(C)=C(/*)[Si](C)(C)CC,,,
*/C(C)=C(/*)[Si](C)(C)CCC,,,
*/C(C)=C(/*)[Si](C)(C)CCCC,,,
*/C(C)=C(/*)[Si](C)(C)CCCCCCCC,,,
*/C(C)=C(/*)[Si](C)(C)C(C)C,,,
*/C(C)=C(/*)[Si](C)(C)c1ccccc1,,,
*/C(C)=C(/*)c1ccc([Si](C)(C)C)cc1,,,
*CC(*)CNc1ccc([N+](=O)[O-])cc1,,,
*CC(*)CNc1ccc([N+](=O)[O-])cn1,,,
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,,,
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,,,
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],,,
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,,,
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,,,
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,,,
*CC(*)n1ccnc1,1.07,,
*CC(*)OC(=O)CCCCCCCCCCCCCCCCCCCCC,,57.0,
*CC(*)OCCCCCCCCCCCCCCCCCC,,47.0,
*CC(*)OC(=O)c1ccc(C#N)cc1,,,
*CC/C=C(/*)[Sn](CCCC)(CCCC)CCCC,,,
*CC(*)OCC(C)(C)CC(C)C,,,
*C(F)(F)C(*)(F)OC(F)C(F)F,,,
*CC(*)C(=O)c1ccc(Br)cc1,,,
*CC(*)OC(=O)CC1CCCC1,,,
*CC(*)N1CCCC1=O,1.2,119.51,
*CCC1CC2C(CC(*)C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,,,
*CC(*)C(=O)O,1.42,131.0,
*CC(*)C(=O)OC,1.214,,
*CC(*)C(=O)OCC,1.133,,
*CC(*)C(=O)OCCC,,,
*CC(*)C(=O)OC(C)C,1.13,169.5,
*CC(*)C(=O)OCCCC,1.074,47.0,
*CC(*)C(=O)OCC(C)C,1.05,81.0,
*CC(*)C(=O)OC(C)CC,1.413,130.0,
*CC(*)C(=O)OC(C)(C)C,1.18,200.0,
*CC(*)C(=O)OCCCCCC,,,
*CC(*)C(=O)OCCCCCCC,,,
*CC(*)C(=O)OCCCCCCCC,,,
*CC(*)C(=O)OCCCCCCCCCCCC,,11.9,
*CC(*)C(=O)OCCCCCCCCCCCCCC,,31.9,
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,,40.55,
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,0.9754,50.0,
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,0.9752,70.95,
*CC(*)C(=O)OCC=C,,90.0,
*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,,,
*CC(*)C(=O)OCC(F)(F)F,,,
*CC(*)C(=O)OCC(F)(F)C(F)(F)F,,,
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,,,
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,,,
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,,,
*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl,,,
*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F,,,
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)C(=O)OCCOC,,,
*CC(*)C(=O)OCCOCC,,,
*CC(*)C(=O)OCCCOC,,,
*CC(*)C(=O)OCCCOCC,,,
*CC(*)C(=O)OCCOCC(F)(F)F,,,
*CC(*)C(=O)OCCOC(F)(F)C(F)F,,,
*CC(*)C(=O)OCCOCC(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,,,
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,,,
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)C(=O)OCCCCCOC(F)(C(F)(F)F)C(F)(F)F,,,
*CC(*)C(=O)OCCCCCCCCCCCOC(F)(C(F)(F)F)C(F)(F)F,,,
*CC(*)C(=O)OCCN(CCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,
*CC(*)(C)C(=O)O,,,
*CC(*)(C)C(=O)OC,1.19,157.0,
*CC(*)(C)C(=O)OCC,1.11,,
*CC(*)(C)C(=O)OCCC,1.088,,
*CC(*)(C)C(=O)OC(C)C,1.0315,,
*CC(*)(C)C(=O)OCCCC,1.0562,,
*CC(*)(C)C(=O)OC(C)CC,1.052,,
*CC(*)(C)C(=O)OCC(C)C,1.04885,,
*CC(*)(C)C(=O)OC(C)(C)C,1.0215,165.0,
*CC(*)(C)C(=O)OCCCCCC,1.028,,
*CC(*)(C)C(=O)OCCCCCCCC,0.998,,
*CC(*)(C)C(=O)OCCCCCCCCCCCC,0.984,-26.0,
*CC(*)(C)C(=O)OCCCCCCCCCCCCCC,,,
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,,22.0,
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.9686,38.0,
*CC(*)(C)C(=O)OC1CCCCC1,1.1075,,
*CC(*)(C)C(=O)OC1CCCCC1C,,,
*CC(*)(C)C(=O)OC1CCC(C)CC1,,,
